Date,Id,Players,Time,Seconds,Link
2025-10-03,y2r3r29m,Blobdoodles,1h 33m 26s,5606,https://www.speedrun.com/silksong/runs/y2r3r29m
2025-10-06,zn54ov9z,Vespher,1h 01m 02s,3662,https://www.speedrun.com/silksong/runs/zn54ov9z
2025-10-21,yw58vvny,Aribuge,55m 40s,3340,https://www.speedrun.com/silksong/runs/yw58vvny
2025-11-06,zx56ppkm,Remto,53m 17s,3197,https://www.speedrun.com/silksong/runs/zx56ppkm
2025-11-08,zg9gv7jm,Remto,52m 53s,3173,https://www.speedrun.com/silksong/runs/zg9gv7jm
2025-11-12,y9w94o2z,LoLNebula,52m 41s,3161,https://www.speedrun.com/silksong/runs/y9w94o2z
2025-11-15,mkr5gr1z,LoLNebula,52m 26s,3146,https://www.speedrun.com/silksong/runs/mkr5gr1z
2025-11-16,yo56ql5z,LoLNebula,52m 20s,3140,https://www.speedrun.com/silksong/runs/yo56ql5z
2025-11-17,mkr50w5z,LoLNebula,51m 38s,3098,https://www.speedrun.com/silksong/runs/mkr50w5z
2025-11-20,z17xeg9z,LoLNebula,51m 24s,3084,https://www.speedrun.com/silksong/runs/z17xeg9z
2025-11-22,m7vw899m,LoLNebula,51m 12s,3072,https://www.speedrun.com/silksong/runs/m7vw899m
2025-12-02,z17p7wrz,CYV_,51m 01s,3061,https://www.speedrun.com/silksong/runs/z17p7wrz
2025-12-12,yl5nvekz,CYV_,50m 59s,3059,https://www.speedrun.com/silksong/runs/yl5nvekz
2025-12-14,z17qk37z,CYV_,50m 35s,3035,https://www.speedrun.com/silksong/runs/z17qk37z
2025-12-15,y9w6d3rz,CYV_,50m 33s,3033,https://www.speedrun.com/silksong/runs/y9w6d3rz
2025-12-19,m32qg3wy,CYV_,50m 30s,3030,https://www.speedrun.com/silksong/runs/m32qg3wy
2025-12-19,zq5j475z,CYV_,50m 24s,3024,https://www.speedrun.com/silksong/runs/zq5j475z
2025-12-29,mr52328y,CYV_,50m 07s 700ms,3007.7,https://www.speedrun.com/silksong/runs/mr52328y
2025-12-30,y8nk5nny,CYV_,50m 07s 450ms,3007.45,https://www.speedrun.com/silksong/runs/y8nk5nny
2026-01-02,yw5gnxpy,CYV_,50m 07s 100ms,3007.1,https://www.speedrun.com/silksong/runs/yw5gnxpy
2026-01-03,mkrpov3z,CYV_,50m 04s,3004,https://www.speedrun.com/silksong/runs/mkrpov3z
2026-01-05,yw5xd2ny,CYV_,49m 58s,2998,https://www.speedrun.com/silksong/runs/yw5xd2ny
2026-02-14,mr53vq4y,CYV_,49m 32s,2972,https://www.speedrun.com/silksong/runs/mr53vq4y
2026-02-21,zn6wn63y,CYV_,49m 21s,2961,https://www.speedrun.com/silksong/runs/zn6wn63y
2026-03-21,m38nk14y,CYV_,49m 18s,2958,https://www.speedrun.com/silksong/runs/m38nk14y
2026-03-27,zn61x6ly,CYV_,49m 15s,2955,https://www.speedrun.com/silksong/runs/zn61x6ly
2026-03-29,yl2q8nrz,CYV_,49m 03s,2943,https://www.speedrun.com/silksong/runs/yl2q8nrz
2026-03-29,ydpr7gjy,CYV_,48m 59s,2939,https://www.speedrun.com/silksong/runs/ydpr7gjy
2026-03-31,yl2r172z,CYV_,48m 40s,2920,https://www.speedrun.com/silksong/runs/yl2r172z